grievance_text,category,priority
The local lake is being polluted by improper dumping. Residents have requested prompt action.,ENVIRONMENT,HIGH
The community needs improved security and protection in the public area. Please arrange the necessary civic action.,PUBLIC_SAFETY,HIGH
The tap water service is unreliable in our neighborhood. People in the locality are requesting a solution.,WATER,MEDIUM
The intersection needs better traffic management. The issue has been reported by local residents.,TRAFFIC,MEDIUM
A stray animal issue has been reported by residents. The issue has been reported by local residents.,ANIMAL_CONTROL,MEDIUM
Residents are facing difficulty getting treatment at the public clinic. The issue has been reported by local residents.,HEALTHCARE,CRITICAL
Traffic flow is heavily congested during office hours. Please arrange the necessary civic action.,TRAFFIC,HIGH
The drainage channel is blocked with silt and debris.,DRAINAGE,MEDIUM
The college campus needs better facilities for students.,EDUCATION,MEDIUM
The public restroom has unhygienic facilities. People in the locality are requesting a solution.,PUBLIC_TOILETS,MEDIUM
The streetlight pole near the junction is not illuminated.,STREETLIGHT,LOW
The municipal water supply is irregular in our locality. People in the locality are requesting a solution.,WATER,HIGH
The department has delayed my application without an explanation. People in the locality are requesting a solution.,GOVERNMENT_SERVICES,LOW
The voltage supply is unstable in our area. The issue has been reported by local residents.,ELECTRICITY,MEDIUM
A broken lamp post is leaving the street without lighting. The issue has been reported by local residents.,STREETLIGHT,MEDIUM
The park benches and recreational facilities are damaged. People in the locality are requesting a solution.,PARKS,LOW
Deep cracks have appeared across the roadway and need resurfacing. People in the locality are requesting a solution.,ROAD,MEDIUM
There has been no drinking water supply in our neighborhood.,WATER,HIGH
A public safety concern has been reported by residents in the locality. Please arrange the necessary civic action.,PUBLIC_SAFETY,CRITICAL
A public safety concern has been reported by residents in the locality. Please arrange the necessary civic action.,PUBLIC_SAFETY,CRITICAL
The intersection needs better traffic management. The issue has been reported by local residents.,TRAFFIC,MEDIUM
Smoke pollution is affecting the environment in our locality.,ENVIRONMENT,MEDIUM
The main street has damaged asphalt and requires road maintenance. The issue has been reported by local residents.,ROAD,MEDIUM
Air pollution in the locality is becoming a serious concern. People in the locality are requesting a solution.,ENVIRONMENT,HIGH
The government office has not processed my submitted application.,GOVERNMENT_SERVICES,LOW
The community needs help controlling stray animal problems. The issue has been reported by local residents.,ANIMAL_CONTROL,HIGH
The public water supply has stopped since yesterday.,WATER,MEDIUM
The local lake is being polluted by improper dumping. Residents have requested prompt action.,ENVIRONMENT,HIGH
Stray cattle are creating a problem in the local area.,ANIMAL_CONTROL,HIGH
There is inadequate bus service between our neighborhood and the town. People in the locality are requesting a solution.,PUBLIC_TRANSPORT,MEDIUM
Air pollution in the locality is becoming a serious concern. People in the locality are requesting a solution.,ENVIRONMENT,HIGH
The government school needs additional classrooms for students. The issue has been reported by local residents.,EDUCATION,LOW
The government building needs accessibility features for people with disabilities. Residents have requested prompt action.,DISABILITY_ACCESS,HIGH
Passengers have to wait a long time for the public bus. Residents have requested prompt action.,PUBLIC_TRANSPORT,HIGH
Trash is accumulating at the designated collection point.,WASTE,LOW
The toilet facility near the bus area is not being cleaned. The issue has been reported by local residents.,PUBLIC_TOILETS,LOW
The children's playground in the park needs repairs. Residents have requested prompt action.,PARKS,LOW
A stray animal issue has been reported by residents. The issue has been reported by local residents.,ANIMAL_CONTROL,MEDIUM
Severe traffic congestion occurs at the junction every evening.,TRAFFIC,HIGH
Our area is facing an interruption in the water connection. Please arrange the necessary civic action.,WATER,HIGH
Wastewater is backing up because the drain is blocked. Residents have requested prompt action.,DRAINAGE,HIGH
The open drain is overflowing after rainfall. People in the locality are requesting a solution.,DRAINAGE,MEDIUM
Tenants are requesting assistance with unsafe residential accommodation. Residents have requested prompt action.,HOUSING,CRITICAL
The community needs improved security and protection in the public area. Please arrange the necessary civic action.,PUBLIC_SAFETY,HIGH
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
The local clinic needs better healthcare services for patients. Please arrange the necessary civic action.,HEALTHCARE,CRITICAL
Waste bins are overflowing because collection has not occurred. People in the locality are requesting a solution.,WASTE,LOW
Vehicles are getting stuck in a traffic jam near the intersection. Residents have requested prompt action.,TRAFFIC,MEDIUM
The health centre lacks essential patient services. Please arrange the necessary civic action.,HEALTHCARE,HIGH
Residents are facing delays in treatment at the public hospital. The issue has been reported by local residents.,HEALTHCARE,HIGH
The community toilet requires cleaning and regular maintenance. Residents have requested prompt action.,PUBLIC_TOILETS,LOW
Household rubbish is being left uncollected in our locality. The issue has been reported by local residents.,WASTE,MEDIUM
Several families are living in unsafe residential buildings. The issue has been reported by local residents.,HOUSING,HIGH
The public area is affected by excessive environmental pollution. The issue has been reported by local residents.,ENVIRONMENT,MEDIUM
Residents are receiving poor quality tap water. The issue has been reported by local residents.,WATER,MEDIUM
The area needs measures to reduce pollution and protect nature. Please arrange the necessary civic action.,ENVIRONMENT,MEDIUM
Please review this community issue and assign it to the appropriate authority. Please arrange the necessary civic action.,OTHER,MEDIUM
Broken pavement is causing difficulty for cars and two-wheelers. Please arrange the necessary civic action.,ROAD,HIGH
The community toilet requires cleaning and regular maintenance. Residents have requested prompt action.,PUBLIC_TOILETS,LOW
A major traffic jam forms near the signal every morning.,TRAFFIC,MEDIUM
This is a general local complaint that needs to be directed to the correct department. People in the locality are requesting a solution.,OTHER,MEDIUM
Families are not receiving their scheduled water supply. Residents have requested prompt action.,WATER,HIGH
The garbage collection schedule is not being followed. Please arrange the necessary civic action.,WASTE,LOW
The public toilet near the market is dirty and poorly maintained.,PUBLIC_TOILETS,MEDIUM
The local lake is being polluted by improper dumping. Residents have requested prompt action.,ENVIRONMENT,HIGH
The city bus on our route is very infrequent.,PUBLIC_TRANSPORT,MEDIUM
Please review this community issue and assign it to the appropriate authority. Please arrange the necessary civic action.,OTHER,MEDIUM
Residents are requesting assistance with a miscellaneous civic matter. The issue has been reported by local residents.,OTHER,LOW
The open drain is overflowing after rainfall. People in the locality are requesting a solution.,DRAINAGE,MEDIUM
I am unable to get a response about my government service request. People in the locality are requesting a solution.,GOVERNMENT_SERVICES,MEDIUM
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
The municipal street lights need repair. Please arrange the necessary civic action.,STREETLIGHT,LOW
The road needs resurfacing because the asphalt has worn away.,ROAD,HIGH
Students do not have adequate facilities in the public school. Please arrange the necessary civic action.,EDUCATION,LOW
Waste collection is irregular in our neighborhood. People in the locality are requesting a solution.,WASTE,MEDIUM
Residents are concerned about animals roaming around the neighborhood. Please arrange the necessary civic action.,ANIMAL_CONTROL,MEDIUM
The government clinic does not have enough doctors for patients.,HEALTHCARE,HIGH
The stormwater drain needs urgent cleaning. Please arrange the necessary civic action.,DRAINAGE,HIGH
Students are requesting repairs to school classrooms and educational facilities.,EDUCATION,LOW
A clogged drain is causing water to collect on the street. The issue has been reported by local residents.,DRAINAGE,MEDIUM
The local bus service is insufficient for daily commuters. People in the locality are requesting a solution.,PUBLIC_TRANSPORT,HIGH
The community restroom needs regular cleaning and maintenance. Residents have requested prompt action.,PUBLIC_TOILETS,MEDIUM
Residents feel unsafe in the public area because there is no security.,PUBLIC_SAFETY,HIGH
Trash is accumulating at the designated collection point.,WASTE,LOW
Residents need assistance with an increasing stray animal population. Residents have requested prompt action.,ANIMAL_CONTROL,MEDIUM
The college campus needs better facilities for students. The issue has been reported by local residents.,EDUCATION,MEDIUM
Multiple street lamps have stopped working after dark. Residents have requested prompt action.,STREETLIGHT,MEDIUM
The government department has delayed processing my application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,LOW
There is a municipal issue in my area that requires attention. Residents have requested prompt action.,OTHER,MEDIUM
A major traffic jam forms near the signal every morning.,TRAFFIC,MEDIUM
The school laboratory and library require educational infrastructure improvements. Residents have requested prompt action.,EDUCATION,LOW
The road remains dark because the street lights are off. People in the locality are requesting a solution.,STREETLIGHT,MEDIUM
Household waste is piling up near the residential area. Residents have requested prompt action.,WASTE,LOW
The open drain is overflowing after rainfall. People in the locality are requesting a solution.,DRAINAGE,MEDIUM
A clogged drain is causing water to collect on the street. The issue has been reported by local residents.,DRAINAGE,MEDIUM
Uncontrolled animals are creating problems for people in the locality. People in the locality are requesting a solution.,ANIMAL_CONTROL,HIGH
The traffic signal area experiences long queues during peak hours. People in the locality are requesting a solution.,TRAFFIC,MEDIUM
The public hospital needs more doctors and nurses.,HEALTHCARE,CRITICAL
I need an update about a pending government application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,MEDIUM
People are concerned about personal safety in the isolated public space. Residents have requested prompt action.,PUBLIC_SAFETY,CRITICAL
The government clinic does not have enough doctors for patients.,HEALTHCARE,HIGH
Uncollected garbage is creating an unpleasant smell. The issue has been reported by local residents.,WASTE,LOW
Severe traffic congestion occurs at the junction every evening.,TRAFFIC,HIGH
Industrial activity is causing pollution in the surrounding area.,ENVIRONMENT,HIGH
Uncontrolled animals are creating problems for people in the locality. People in the locality are requesting a solution.,ANIMAL_CONTROL,HIGH
The local government hospital needs additional medical staff. People in the locality are requesting a solution.,HEALTHCARE,HIGH
The public facility is difficult to access for wheelchair users. Residents have requested prompt action.,DISABILITY_ACCESS,MEDIUM
A damaged streetlight needs to be repaired. The issue has been reported by local residents.,STREETLIGHT,LOW
Frequent blackouts are affecting homes in our neighborhood.,ELECTRICITY,MEDIUM
This is a general local complaint that needs to be directed to the correct department. People in the locality are requesting a solution.,OTHER,MEDIUM
The public toilet has broken sanitation facilities.,PUBLIC_TOILETS,LOW
Residents need assistance with aggressive stray animals. Residents have requested prompt action.,ANIMAL_CONTROL,HIGH
The local power supply needs urgent attention. People in the locality are requesting a solution.,ELECTRICITY,MEDIUM
The neighborhood park requires landscaping and repairs. The issue has been reported by local residents.,PARKS,MEDIUM
Patients at the public health centre are waiting for hours. Residents have requested prompt action.,HEALTHCARE,CRITICAL
Household rubbish is being left uncollected in our locality. The issue has been reported by local residents.,WASTE,MEDIUM
The park's recreational facilities are damaged. The issue has been reported by local residents.,PARKS,LOW
The public lamp outside our building has been out for many nights. Please arrange the necessary civic action.,STREETLIGHT,MEDIUM
The facility requires better disability access arrangements. Please arrange the necessary civic action.,DISABILITY_ACCESS,MEDIUM
The public area has a security problem that needs immediate attention. Residents have requested prompt action.,PUBLIC_SAFETY,HIGH
The asphalt surface of the main road is badly damaged. Residents have requested prompt action.,ROAD,HIGH
The public area is affected by excessive environmental pollution. The issue has been reported by local residents.,ENVIRONMENT,MEDIUM
Residents are facing problems with their government housing accommodation. The issue has been reported by local residents.,HOUSING,CRITICAL
Our area is facing an interruption in the water connection. Please arrange the necessary civic action.,WATER,HIGH
The residential housing complex requires repairs to its units. Please arrange the necessary civic action.,HOUSING,HIGH
Residents have reported a serious safety risk in the public place. The issue has been reported by local residents.,PUBLIC_SAFETY,CRITICAL
The local water connection needs urgent attention. Please arrange the necessary civic action.,WATER,MEDIUM
Residents need assistance with an increasing stray animal population. Residents have requested prompt action.,ANIMAL_CONTROL,MEDIUM
A housing unit has serious damage to its roof and walls. Please arrange the necessary civic action.,HOUSING,HIGH
Residents are facing a delay in garbage pickup. Residents have requested prompt action.,WASTE,MEDIUM
The public school requires improvements to its learning environment. Residents have requested prompt action.,EDUCATION,LOW
The local clinic needs better healthcare services for patients. Please arrange the necessary civic action.,HEALTHCARE,CRITICAL
Stray cattle are creating a problem in the local area.,ANIMAL_CONTROL,HIGH
The public garden needs regular maintenance. Residents have requested prompt action.,PARKS,MEDIUM
Residents are concerned about animals roaming around the neighborhood. Please arrange the necessary civic action.,ANIMAL_CONTROL,MEDIUM
Residents are facing problems with their government housing accommodation. People in the locality are requesting a solution.,HOUSING,CRITICAL
The area needs measures to reduce pollution and protect nature. Please arrange the necessary civic action.,ENVIRONMENT,MEDIUM
The road remains dark because the street lights are off. People in the locality are requesting a solution.,STREETLIGHT,MEDIUM
The streetlight pole near the junction is not illuminated.,STREETLIGHT,LOW
Stray dogs are causing problems near the residential buildings.,ANIMAL_CONTROL,MEDIUM
The toilet facility in the market area is poorly maintained. The issue has been reported by local residents.,PUBLIC_TOILETS,MEDIUM
The stormwater drain needs urgent cleaning. Please arrange the necessary civic action.,DRAINAGE,HIGH
The public lamp outside our building has been out for many nights. Please arrange the necessary civic action.,STREETLIGHT,MEDIUM
The intersection needs better traffic management. The issue has been reported by local residents.,TRAFFIC,MEDIUM
Wastewater is backing up because the drain is blocked. Residents have requested prompt action.,DRAINAGE,HIGH
The public school requires improvements to its learning environment. Please arrange the necessary civic action.,EDUCATION,LOW
The neighborhood needs action to protect the local environment. Please arrange the necessary civic action.,ENVIRONMENT,HIGH
Industrial activity is causing pollution in the surrounding area.,ENVIRONMENT,HIGH
The local water connection needs urgent attention. Please arrange the necessary civic action.,WATER,MEDIUM
Waste bins are overflowing because collection has not occurred. People in the locality are requesting a solution.,WASTE,LOW
The toilet facility in the market area is poorly maintained. The issue has been reported by local residents.,PUBLIC_TOILETS,MEDIUM
The public facility is difficult to access for wheelchair users. Residents have requested prompt action.,DISABILITY_ACCESS,MEDIUM
The public garden needs regular maintenance. Residents have requested prompt action.,PARKS,MEDIUM
The road remains dark because the street lights are off. People in the locality are requesting a solution.,STREETLIGHT,MEDIUM
The department has delayed my application without an explanation. People in the locality are requesting a solution.,GOVERNMENT_SERVICES,LOW
The residential apartment has a leaking roof and damaged walls. Residents have requested prompt action.,HOUSING,HIGH
Residents are facing a delay in garbage pickup. Residents have requested prompt action.,WASTE,MEDIUM
A dangerous public area needs better security measures. People in the locality are requesting a solution.,PUBLIC_SAFETY,HIGH
The local lake is being polluted by improper dumping. Residents have requested prompt action.,ENVIRONMENT,HIGH
A public safety concern has been reported by residents in the locality. Please arrange the necessary civic action.,PUBLIC_SAFETY,CRITICAL
The lighting on our street is not functioning at night. People in the locality are requesting a solution.,STREETLIGHT,LOW
The public lamp outside our building has been out for many nights. Please arrange the necessary civic action.,STREETLIGHT,MEDIUM
The public toilet near the market is dirty and poorly maintained.,PUBLIC_TOILETS,MEDIUM
Residents need assistance with aggressive stray animals. Residents have requested prompt action.,ANIMAL_CONTROL,HIGH
Our neighborhood needs help with an unspecified municipal concern.,OTHER,MEDIUM
The toilet facility near the bus area is not being cleaned. The issue has been reported by local residents.,PUBLIC_TOILETS,LOW
The municipal garbage collection service needs attention. Please arrange the necessary civic action.,WASTE,MEDIUM
Vehicles are facing severe congestion at the busy intersection. Residents have requested prompt action.,TRAFFIC,HIGH
The building needs accessible pathways for people with disabilities. The issue has been reported by local residents.,DISABILITY_ACCESS,MEDIUM
Traffic movement is slow because of congestion at the junction. The issue has been reported by local residents.,TRAFFIC,HIGH
The sewer drain needs cleaning to prevent overflow. Please arrange the necessary civic action.,DRAINAGE,MEDIUM
There is a municipal issue in my area that requires attention. Residents have requested prompt action.,OTHER,MEDIUM
The electricity supply keeps fluctuating in our locality. Residents have requested prompt action.,ELECTRICITY,MEDIUM
The local area needs assistance with animal control. Please arrange the necessary civic action.,ANIMAL_CONTROL,HIGH
The drainage line is overflowing near the houses. People in the locality are requesting a solution.,DRAINAGE,HIGH
Wastewater is backing up because the drain is blocked. Residents have requested prompt action.,DRAINAGE,HIGH
Residents are receiving poor quality tap water. The issue has been reported by local residents.,WATER,MEDIUM
Broken pavement is causing difficulty for cars and two-wheelers. Please arrange the necessary civic action.,ROAD,HIGH
Residents are concerned about animals roaming around the neighborhood. Please arrange the necessary civic action.,ANIMAL_CONTROL,MEDIUM
Residents would like help with an issue not covered by the listed services. People in the locality are requesting a solution.,OTHER,LOW
The street light near our house is not working at night.,STREETLIGHT,MEDIUM
Residents are facing difficulty getting treatment at the public clinic. The issue has been reported by local residents.,HEALTHCARE,CRITICAL
A disabled-access entrance is missing at the government office. People in the locality are requesting a solution.,DISABILITY_ACCESS,HIGH
Residents need assistance with aggressive stray animals. Residents have requested prompt action.,ANIMAL_CONTROL,HIGH
The local park has broken children's play equipment.,PARKS,LOW
A broken lamp post is leaving the street without lighting. The issue has been reported by local residents.,STREETLIGHT,MEDIUM
People are worried about their personal safety at the isolated location.,PUBLIC_SAFETY,CRITICAL
Environmental pollution is affecting the community. The issue has been reported by local residents.,ENVIRONMENT,HIGH
Vehicles are facing severe congestion at the busy intersection. Residents have requested prompt action.,TRAFFIC,HIGH
Vehicles are getting stuck in a traffic jam near the intersection. Residents have requested prompt action.,TRAFFIC,MEDIUM
The bus route needs more frequent services for commuters. The issue has been reported by local residents.,PUBLIC_TRANSPORT,HIGH
Rainwater is accumulating because the drainage channel is blocked. Residents have requested prompt action.,DRAINAGE,MEDIUM
A damaged streetlight needs to be repaired. The issue has been reported by local residents.,STREETLIGHT,LOW
Residents are experiencing repeated power failures. The issue has been reported by local residents.,ELECTRICITY,HIGH
People feel unsafe because the public location is poorly monitored. The issue has been reported by local residents.,PUBLIC_SAFETY,HIGH
Our neighborhood needs help with an unspecified municipal concern.,OTHER,MEDIUM
The electricity supply keeps fluctuating in our locality. Residents have requested prompt action.,ELECTRICITY,MEDIUM
People are dumping waste into the lake and polluting the water body. Residents have requested prompt action.,ENVIRONMENT,MEDIUM
Uncontrolled animals are creating problems for people in the locality. People in the locality are requesting a solution.,ANIMAL_CONTROL,HIGH
The street light near our house is not working at night.,STREETLIGHT,MEDIUM
The community needs improved security and protection in the public area. Please arrange the necessary civic action.,PUBLIC_SAFETY,HIGH
The government service counter has not resolved my request. Please arrange the necessary civic action.,GOVERNMENT_SERVICES,LOW
The city bus on our route is very infrequent.,PUBLIC_TRANSPORT,MEDIUM
Waste collection is irregular in our neighborhood. People in the locality are requesting a solution.,WASTE,MEDIUM
Residents are requesting assistance with a miscellaneous civic matter. The issue has been reported by local residents.,OTHER,LOW
The community park needs maintenance of its walking paths.,PARKS,MEDIUM
A damaged road surface is causing problems for motorists in our area. Please arrange the necessary civic action.,ROAD,MEDIUM
Students are facing problems because school facilities are damaged. The issue has been reported by local residents.,EDUCATION,MEDIUM
Passengers have to wait a long time for the public bus. Residents have requested prompt action.,PUBLIC_TRANSPORT,HIGH
Deep cracks have appeared across the roadway and need resurfacing. People in the locality are requesting a solution.,ROAD,MEDIUM
The community needs help controlling stray animal problems. The issue has been reported by local residents.,ANIMAL_CONTROL,HIGH
Residents are receiving poor quality tap water. The issue has been reported by local residents.,WATER,MEDIUM
The government office has not processed my submitted application.,GOVERNMENT_SERVICES,LOW
Our neighborhood is experiencing frequent power cuts.,ELECTRICITY,HIGH
The government clinic does not have enough doctors for patients.,HEALTHCARE,HIGH
Uncontrolled animals are creating problems for people in the locality. People in the locality are requesting a solution.,ANIMAL_CONTROL,HIGH
There is no wheelchair ramp at the entrance of the public building.,DISABILITY_ACCESS,HIGH
Residents are facing a delay in garbage pickup. Residents have requested prompt action.,WASTE,MEDIUM
The building needs accessible pathways for people with disabilities. The issue has been reported by local residents.,DISABILITY_ACCESS,MEDIUM
Household rubbish is being left uncollected in our locality. The issue has been reported by local residents.,WASTE,MEDIUM
My application at the government office has been pending for weeks.,GOVERNMENT_SERVICES,MEDIUM
People are concerned about personal safety in the isolated public space. Residents have requested prompt action.,PUBLIC_SAFETY,CRITICAL
Residents are facing repeated electrical outages. People in the locality are requesting a solution.,ELECTRICITY,HIGH
Residents are experiencing repeated power failures. The issue has been reported by local residents.,ELECTRICITY,HIGH
Traffic flow is heavily congested during office hours. Please arrange the necessary civic action.,TRAFFIC,HIGH
A major traffic jam forms near the signal every morning.,TRAFFIC,MEDIUM
The local clinic needs better healthcare services for patients. Please arrange the necessary civic action.,HEALTHCARE,CRITICAL
I need an update about a pending government application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,MEDIUM
The stormwater drain needs urgent cleaning. Please arrange the necessary civic action.,DRAINAGE,HIGH
The drain is blocked and dirty water is overflowing.,DRAINAGE,HIGH
Residents feel unsafe in the public area because there is no security.,PUBLIC_SAFETY,HIGH
The tap water service is unreliable in our neighborhood. People in the locality are requesting a solution.,WATER,MEDIUM
The municipal water supply is irregular in our locality. People in the locality are requesting a solution.,WATER,HIGH
The public toilet has broken sanitation facilities.,PUBLIC_TOILETS,LOW
Our neighborhood is experiencing frequent power cuts.,ELECTRICITY,HIGH
Students need safer and better-maintained classrooms at the school. People in the locality are requesting a solution.,EDUCATION,MEDIUM
I need an update about a pending government application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,MEDIUM
Smoke pollution is affecting the environment in our locality.,ENVIRONMENT,MEDIUM
The neighborhood park requires landscaping and repairs. The issue has been reported by local residents.,PARKS,MEDIUM
The tap water service is unreliable in our neighborhood. People in the locality are requesting a solution.,WATER,MEDIUM
The sewer drain needs cleaning to prevent overflow. Please arrange the necessary civic action.,DRAINAGE,MEDIUM
The community toilet requires cleaning and regular maintenance. Residents have requested prompt action.,PUBLIC_TOILETS,LOW
The public facility is difficult to access for wheelchair users. Residents have requested prompt action.,DISABILITY_ACCESS,MEDIUM
The government school needs repairs to its classrooms and learning facilities. Residents have requested prompt action.,EDUCATION,MEDIUM
Residents are requesting better sanitation at the public restroom. Please arrange the necessary civic action.,PUBLIC_TOILETS,LOW
The community needs help controlling stray animal problems. The issue has been reported by local residents.,ANIMAL_CONTROL,HIGH
Electricity service is unreliable on our street. Residents have requested prompt action.,ELECTRICITY,HIGH
Stray dogs are causing problems near the residential buildings.,ANIMAL_CONTROL,MEDIUM
The park's recreational facilities are damaged. The issue has been reported by local residents.,PARKS,LOW
Please review this general civic request and direct it to the appropriate office. Please arrange the necessary civic action.,OTHER,LOW
The public area has a security problem that needs immediate attention. Residents have requested prompt action.,PUBLIC_SAFETY,HIGH
The children's playground in the park needs repairs. Residents have requested prompt action.,PARKS,LOW
Wheelchair users cannot enter the public facility because there is no ramp.,DISABILITY_ACCESS,MEDIUM
Our area needs additional city buses during peak hours. Residents have requested prompt action.,PUBLIC_TRANSPORT,MEDIUM
The pavement on our street has broken sections that need repair. The issue has been reported by local residents.,ROAD,HIGH
A housing unit has serious damage to its roof and walls. Residents have requested prompt action.,HOUSING,HIGH
Families need support for safe and affordable accommodation. Please arrange the necessary civic action.,HOUSING,CRITICAL
Broken pavement is causing difficulty for cars and two-wheelers. Please arrange the necessary civic action.,ROAD,HIGH
Vehicles are facing severe congestion at the busy intersection. Residents have requested prompt action.,TRAFFIC,HIGH
Our neighborhood is experiencing frequent power cuts.,ELECTRICITY,HIGH
The public lamp outside our building has been out for many nights. Please arrange the necessary civic action.,STREETLIGHT,MEDIUM
The park's recreational facilities are damaged. The issue has been reported by local residents.,PARKS,LOW
Residents are requesting improvements to the neighborhood park. Please arrange the necessary civic action.,PARKS,MEDIUM
The classroom infrastructure at the school requires maintenance. Residents have requested prompt action.,EDUCATION,MEDIUM
A damaged streetlight needs to be repaired. The issue has been reported by local residents.,STREETLIGHT,LOW
Uncollected garbage is creating an unpleasant smell. The issue has been reported by local residents.,WASTE,LOW
The government department has delayed processing my application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,LOW
The toilet facility in the market area is poorly maintained. The issue has been reported by local residents.,PUBLIC_TOILETS,MEDIUM
The traffic signal area experiences long queues during peak hours. People in the locality are requesting a solution.,TRAFFIC,MEDIUM
The public toilet near the market is dirty and poorly maintained.,PUBLIC_TOILETS,MEDIUM
Vehicles are getting stuck in a traffic jam near the intersection. Residents have requested prompt action.,TRAFFIC,MEDIUM
Waste bins are overflowing because collection has not occurred. People in the locality are requesting a solution.,WASTE,LOW
People feel unsafe because the public location is poorly monitored. The issue has been reported by local residents.,PUBLIC_SAFETY,HIGH
The public area is affected by excessive environmental pollution. The issue has been reported by local residents.,ENVIRONMENT,MEDIUM
The drain is blocked and dirty water is overflowing.,DRAINAGE,HIGH
The drain is blocked and dirty water is overflowing.,DRAINAGE,HIGH
The public school requires improvements to its learning environment. Please arrange the necessary civic action.,EDUCATION,LOW
The public hospital needs more doctors and nurses.,HEALTHCARE,CRITICAL
The community restroom needs regular cleaning and maintenance. Residents have requested prompt action.,PUBLIC_TOILETS,MEDIUM
Our neighborhood needs help with an unspecified municipal concern.,OTHER,MEDIUM
Residents are facing repeated electrical outages. People in the locality are requesting a solution.,ELECTRICITY,HIGH
The public toilet near the market is dirty and poorly maintained.,PUBLIC_TOILETS,MEDIUM
The street light near our house is not working at night.,STREETLIGHT,MEDIUM
The community needs improved security and protection in the public area. Please arrange the necessary civic action.,PUBLIC_SAFETY,HIGH
The local lake is being polluted by improper dumping. Residents have requested prompt action.,ENVIRONMENT,HIGH
Residents need assistance with aggressive stray animals. Residents have requested prompt action.,ANIMAL_CONTROL,HIGH
There is no wheelchair ramp at the entrance of the public building.,DISABILITY_ACCESS,HIGH
Severe traffic congestion occurs at the junction every evening.,TRAFFIC,HIGH
People feel unsafe because the public location is poorly monitored. The issue has been reported by local residents.,PUBLIC_SAFETY,HIGH
Public buses are not available regularly on this route. Please arrange the necessary civic action.,PUBLIC_TRANSPORT,MEDIUM
A damaged road surface is causing problems for motorists in our area. Please arrange the necessary civic action.,ROAD,MEDIUM
Vehicles are getting stuck in a traffic jam near the intersection. Residents have requested prompt action.,TRAFFIC,MEDIUM
The voltage supply is unstable in our area. The issue has been reported by local residents.,ELECTRICITY,MEDIUM
Residents would like help with an issue not covered by the listed services. People in the locality are requesting a solution.,OTHER,LOW
The public area is affected by excessive environmental pollution. The issue has been reported by local residents.,ENVIRONMENT,MEDIUM
Tenants are requesting assistance with unsafe residential accommodation.,HOUSING,CRITICAL
Residents are facing problems with their government housing accommodation.,HOUSING,CRITICAL
The public premises do not provide proper accessibility facilities. Please arrange the necessary civic action.,DISABILITY_ACCESS,HIGH
The streetlight pole near the junction is not illuminated.,STREETLIGHT,LOW
Our government housing unit has serious structural damage. People in the locality are requesting a solution.,HOUSING,CRITICAL
The drainage channel is blocked with silt and debris.,DRAINAGE,MEDIUM
There has been no drinking water supply in our neighborhood.,WATER,HIGH
There has been no drinking water supply in our neighborhood.,WATER,HIGH
Industrial activity is causing pollution in the surrounding area.,ENVIRONMENT,HIGH
The city bus on our route is very infrequent.,PUBLIC_TRANSPORT,MEDIUM
Stray cattle are creating a problem in the local area.,ANIMAL_CONTROL,HIGH
Garbage has not been collected from our street for several days.,WASTE,MEDIUM
Smoke pollution is affecting the environment in our locality.,ENVIRONMENT,MEDIUM
Residents feel unsafe in the public area because there is no security.,PUBLIC_SAFETY,HIGH
Tenants are requesting assistance with unsafe residential accommodation. The issue has been reported by local residents.,HOUSING,CRITICAL
There has been no drinking water supply in our neighborhood.,WATER,HIGH
The college campus needs better facilities for students.,EDUCATION,MEDIUM
Passengers have to wait a long time for the public bus. Residents have requested prompt action.,PUBLIC_TRANSPORT,HIGH
The government office has not processed my submitted application.,GOVERNMENT_SERVICES,LOW
There is no wheelchair ramp at the entrance of the public building.,DISABILITY_ACCESS,HIGH
A stray animal issue has been reported by residents. The issue has been reported by local residents.,ANIMAL_CONTROL,MEDIUM
Wheelchair users cannot enter the public facility because there is no ramp.,DISABILITY_ACCESS,MEDIUM
Large potholes are making the road difficult for vehicles to use.,ROAD,MEDIUM
Waste collection is irregular in our neighborhood. People in the locality are requesting a solution.,WASTE,MEDIUM
Residents are facing repeated electrical outages. People in the locality are requesting a solution.,ELECTRICITY,HIGH
The residential apartment has a leaking roof and damaged walls.,HOUSING,HIGH
The street light near our house is not working at night.,STREETLIGHT,MEDIUM
Waste collection is irregular in our neighborhood. People in the locality are requesting a solution.,WASTE,MEDIUM
The public toilet near the market is dirty and poorly maintained.,PUBLIC_TOILETS,MEDIUM
The garbage collection schedule is not being followed. Please arrange the necessary civic action.,WASTE,LOW
Residents are requesting assistance with a miscellaneous civic matter. The issue has been reported by local residents.,OTHER,LOW
People are dumping waste into the lake and polluting the water body. Residents have requested prompt action.,ENVIRONMENT,MEDIUM
The public washroom is unhygienic and requires attention. People in the locality are requesting a solution.,PUBLIC_TOILETS,LOW
Multiple street lamps have stopped working after dark. Residents have requested prompt action.,STREETLIGHT,MEDIUM
